,i,AC_start,trig_start,FI_start,SI_start,sv,state,sustainability,amplitude_mean,amplitude_std_dev,period,period_std_dev
114,114.0,0.04,0.0005,0.0499999999999999,0.6000000000000001,0.0001999999999999,0,0,0,0,0,0
115,115.0,0.04,0.0005,0.0499999999999999,0.8,0.0001,0,0,0,0,0,0
116,116.0,0.04,0.0005,0.0499999999999999,0.8,0.000125,0,0,0,0,0,0
117,117.0,0.04,0.0005,0.0499999999999999,0.8,0.00015,0,0,0,0,0,0
118,118.0,0.04,0.0005,0.0499999999999999,0.8,0.000175,0,0,0,0,0,0
119,119.0,0.04,0.0005,0.0499999999999999,0.8,0.0001999999999999,0,0,0,0,0,0
120,120.0,0.04,0.0005,0.0499999999999999,1.0,0.0001,0,0,0,0,0,0
121,121.0,0.04,0.0005,0.0499999999999999,1.0,0.000125,0,0,0,0,0,0
122,122.0,0.04,0.0005,0.0499999999999999,1.0,0.00015,0,0,0,0,0,0
123,123.0,0.04,0.0005,0.0499999999999999,1.0,0.000175,0,0,0,0,0,0
124,124.0,0.04,0.0005,0.0499999999999999,1.0,0.0001999999999999,0,0,0,0,0,0
125,125.0,0.04,0.0005,0.0499999999999999,1.2,0.0001,0,0,0,0,0,0
126,126.0,0.04,0.0005,0.0499999999999999,1.2,0.000125,0,0,0,0,0,0
127,127.0,0.04,0.0005,0.0499999999999999,1.2,0.00015,0,0,0,0,0,0
128,128.0,0.04,0.0005,0.0499999999999999,1.2,0.000175,0,0,0,0,0,0
129,129.0,0.04,0.0005,0.0499999999999999,1.2,0.0001999999999999,0,0,0,0,0,0
130,130.0,0.04,0.0005,0.0499999999999999,1.4,0.0001,0,0,0,0,0,0
131,131.0,0.04,0.0005,0.0499999999999999,1.4,0.000125,0,0,0,0,0,0
132,132.0,0.04,0.0005,0.0499999999999999,1.4,0.00015,0,0,0,0,0,0
133,133.0,0.04,0.0005,0.0499999999999999,1.4,0.000175,0,0,0,0,0,0
134,134.0,0.04,0.0005,0.0499999999999999,1.4,0.0001999999999999,0,0,0,0,0,0
135,135.0,0.04,0.0005,0.0499999999999999,1.6,0.0001,0,0,0,0,0,0
136,136.0,0.04,0.0005,0.0499999999999999,1.6,0.000125,0,0,0,0,0,0
137,137.0,0.04,0.0005,0.0499999999999999,1.6,0.00015,0,0,0,0,0,0
138,138.0,0.04,0.0005,0.0499999999999999,1.6,0.000175,0,0,0,0,0,0
139,139.0,0.04,0.0005,0.0499999999999999,1.6,0.0001999999999999,0,0,0,0,0,0
140,140.0,0.04,0.0005,0.0499999999999999,1.8,0.0001,0,0,0,0,0,0
141,141.0,0.04,0.0005,0.0499999999999999,1.8,0.000125,0,0,0,0,0,0
142,142.0,0.04,0.0005,0.0499999999999999,1.8,0.00015,0,0,0,0,0,0
143,143.0,0.04,0.0005,0.0499999999999999,1.8,0.000175,0,0,0,0,0,0
144,144.0,0.04,0.0005,0.0499999999999999,1.8,0.0001999999999999,0,0,0,0,0,0
145,145.0,0.04,0.0005,0.0499999999999999,2.0,0.0001,0,0,0,0,0,0
146,146.0,0.04,0.0005,0.0499999999999999,2.0,0.000125,0,0,0,0,0,0
147,147.0,0.04,0.0005,0.0499999999999999,2.0,0.00015,0,0,0,0,0,0
148,148.0,0.04,0.0005,0.0499999999999999,2.0,0.000175,0,0,0,0,0,0
149,149.0,0.04,0.0005,0.0499999999999999,2.0,0.0001999999999999,0,0,0,0,0,0
150,150.0,0.04,0.0005,0.0549999999999999,0.2,0.0001,0,0,0,0,0,0
151,151.0,0.04,0.0005,0.0549999999999999,0.2,0.000125,0,0,0,0,0,0
152,152.0,0.04,0.0005,0.0549999999999999,0.2,0.00015,0,0,0,0,0,0
153,153.0,0.04,0.0005,0.0549999999999999,0.2,0.000175,0,0,0,0,0,0
154,154.0,0.04,0.0005,0.0549999999999999,0.2,0.0001999999999999,0,0,0,0,0,0
155,155.0,0.04,0.0005,0.0549999999999999,0.4,0.0001,0,0,0,0,0,0
156,156.0,0.04,0.0005,0.0549999999999999,0.4,0.000125,0,0,0,0,0,0
157,157.0,0.04,0.0005,0.0549999999999999,0.4,0.00015,0,0,0,0,0,0
158,158.0,0.04,0.0005,0.0549999999999999,0.4,0.000175,0,0,0,0,0,0
159,159.0,0.04,0.0005,0.0549999999999999,0.4,0.0001999999999999,0,0,0,0,0,0
160,160.0,0.04,0.0005,0.0549999999999999,0.6000000000000001,0.0001,0,0,0,0,0,0
161,161.0,0.04,0.0005,0.0549999999999999,0.6000000000000001,0.000125,0,0,0,0,0,0
162,162.0,0.04,0.0005,0.0549999999999999,0.6000000000000001,0.00015,0,0,0,0,0,0
163,163.0,0.04,0.0005,0.0549999999999999,0.6000000000000001,0.000175,0,0,0,0,0,0
164,164.0,0.04,0.0005,0.0549999999999999,0.6000000000000001,0.0001999999999999,0,0,0,0,0,0
165,165.0,0.04,0.0005,0.0549999999999999,0.8,0.0001,0,0,0,0,0,0
166,166.0,0.04,0.0005,0.0549999999999999,0.8,0.000125,0,0,0,0,0,0
167,167.0,0.04,0.0005,0.0549999999999999,0.8,0.00015,0,0,0,0,0,0
168,168.0,0.04,0.0005,0.0549999999999999,0.8,0.000175,0,0,0,0,0,0
169,169.0,0.04,0.0005,0.0549999999999999,0.8,0.0001999999999999,0,0,0,0,0,0
170,170.0,0.04,0.0005,0.0549999999999999,1.0,0.0001,0,0,0,0,0,0
171,171.0,0.04,0.0005,0.0549999999999999,1.0,0.000125,0,0,0,0,0,0
172,172.0,0.04,0.0005,0.0549999999999999,1.0,0.00015,0,0,0,0,0,0
173,173.0,0.04,0.0005,0.0549999999999999,1.0,0.000175,0,0,0,0,0,0
174,174.0,0.04,0.0005,0.0549999999999999,1.0,0.0001999999999999,0,0,0,0,0,0
175,175.0,0.04,0.0005,0.0549999999999999,1.2,0.0001,0,0,0,0,0,0
176,176.0,0.04,0.0005,0.0549999999999999,1.2,0.000125,0,0,0,0,0,0
177,177.0,0.04,0.0005,0.0549999999999999,1.2,0.00015,0,0,0,0,0,0
178,178.0,0.04,0.0005,0.0549999999999999,1.2,0.000175,0,0,0,0,0,0
179,179.0,0.04,0.0005,0.0549999999999999,1.2,0.0001999999999999,0,0,0,0,0,0
180,180.0,0.04,0.0005,0.0549999999999999,1.4,0.0001,0,0,0,0,0,0
181,181.0,0.04,0.0005,0.0549999999999999,1.4,0.000125,0,0,0,0,0,0
182,182.0,0.04,0.0005,0.0549999999999999,1.4,0.00015,0,0,0,0,0,0
183,183.0,0.04,0.0005,0.0549999999999999,1.4,0.000175,0,0,0,0,0,0
184,184.0,0.04,0.0005,0.0549999999999999,1.4,0.0001999999999999,0,0,0,0,0,0
185,185.0,0.04,0.0005,0.0549999999999999,1.6,0.0001,0,0,0,0,0,0
186,186.0,0.04,0.0005,0.0549999999999999,1.6,0.000125,0,0,0,0,0,0
187,187.0,0.04,0.0005,0.0549999999999999,1.6,0.00015,0,0,0,0,0,0
188,188.0,0.04,0.0005,0.0549999999999999,1.6,0.000175,0,0,0,0,0,0
189,189.0,0.04,0.0005,0.0549999999999999,1.6,0.0001999999999999,0,0,0,0,0,0
190,190.0,0.04,0.0005,0.0549999999999999,1.8,0.0001,0,0,0,0,0,0
191,191.0,0.04,0.0005,0.0549999999999999,1.8,0.000125,0,0,0,0,0,0
192,192.0,0.04,0.0005,0.0549999999999999,1.8,0.00015,0,0,0,0,0,0
193,193.0,0.04,0.0005,0.0549999999999999,1.8,0.000175,0,0,0,0,0,0
194,194.0,0.04,0.0005,0.0549999999999999,1.8,0.0001999999999999,0,0,0,0,0,0
195,195.0,0.04,0.0005,0.0549999999999999,2.0,0.0001,0,0,0,0,0,0
196,196.0,0.04,0.0005,0.0549999999999999,2.0,0.000125,0,0,0,0,0,0
197,197.0,0.04,0.0005,0.0549999999999999,2.0,0.00015,0,0,0,0,0,0
198,198.0,0.04,0.0005,0.0549999999999999,2.0,0.000175,0,0,0,0,0,0
199,199.0,0.04,0.0005,0.0549999999999999,2.0,0.0001999999999999,0,0,0,0,0,0
200,200.0,0.04,0.0005,0.0599999999999999,0.2,0.0001,0,0,0,0,0,0
201,201.0,0.04,0.0005,0.0599999999999999,0.2,0.000125,0,0,0,0,0,0
202,202.0,0.04,0.0005,0.0599999999999999,0.2,0.00015,0,0,0,0,0,0
203,203.0,0.04,0.0005,0.0599999999999999,0.2,0.000175,0,0,0,0,0,0
204,204.0,0.04,0.0005,0.0599999999999999,0.2,0.0001999999999999,0,0,0,0,0,0
205,205.0,0.04,0.0005,0.0599999999999999,0.4,0.0001,0,0,0,0,0,0
206,206.0,0.04,0.0005,0.0599999999999999,0.4,0.000125,0,0,0,0,0,0
207,207.0,0.04,0.0005,0.0599999999999999,0.4,0.00015,0,0,0,0,0,0
208,208.0,0.04,0.0005,0.0599999999999999,0.4,0.000175,0,0,0,0,0,0
209,209.0,0.04,0.0005,0.0599999999999999,0.4,0.0001999999999999,0,0,0,0,0,0
210,210.0,0.04,0.0005,0.0599999999999999,0.6000000000000001,0.0001,0,0,0,0,0,0
211,211.0,0.04,0.0005,0.0599999999999999,0.6000000000000001,0.000125,0,0,0,0,0,0
212,212.0,0.04,0.0005,0.0599999999999999,0.6000000000000001,0.00015,0,0,0,0,0,0
213,213.0,0.04,0.0005,0.0599999999999999,0.6000000000000001,0.000175,0,0,0,0,0,0
214,214.0,0.04,0.0005,0.0599999999999999,0.6000000000000001,0.0001999999999999,0,0,0,0,0,0
215,215.0,0.04,0.0005,0.0599999999999999,0.8,0.0001,0,0,0,0,0,0
216,216.0,0.04,0.0005,0.0599999999999999,0.8,0.000125,0,0,0,0,0,0
217,217.0,0.04,0.0005,0.0599999999999999,0.8,0.00015,0,0,0,0,0,0
218,218.0,0.04,0.0005,0.0599999999999999,0.8,0.000175,0,0,0,0,0,0
219,219.0,0.04,0.0005,0.0599999999999999,0.8,0.0001999999999999,0,0,0,0,0,0
220,220.0,0.04,0.0005,0.0599999999999999,1.0,0.0001,0,0,0,0,0,0
221,221.0,0.04,0.0005,0.0599999999999999,1.0,0.000125,0,0,0,0,0,0
222,222.0,0.04,0.0005,0.0599999999999999,1.0,0.00015,0,0,0,0,0,0
223,223.0,0.04,0.0005,0.0599999999999999,1.0,0.000175,0,0,0,0,0,0
224,224.0,0.04,0.0005,0.0599999999999999,1.0,0.0001999999999999,0,0,0,0,0,0
225,225.0,0.04,0.0005,0.0599999999999999,1.2,0.0001,0,0,0,0,0,0
226,226.0,0.04,0.0005,0.0599999999999999,1.2,0.000125,0,0,0,0,0,0
227,227.0,0.04,0.0005,0.0599999999999999,1.2,0.00015,0,0,0,0,0,0
228,228.0,0.04,0.0005,0.0599999999999999,1.2,0.000175,0,0,0,0,0,0
229,229.0,0.04,0.0005,0.0599999999999999,1.2,0.0001999999999999,0,0,0,0,0,0
230,230.0,0.04,0.0005,0.0599999999999999,1.4,0.0001,0,0,0,0,0,0
231,231.0,0.04,0.0005,0.0599999999999999,1.4,0.000125,0,0,0,0,0,0
232,232.0,0.04,0.0005,0.0599999999999999,1.4,0.00015,0,0,0,0,0,0
233,233.0,0.04,0.0005,0.0599999999999999,1.4,0.000175,0,0,0,0,0,0
234,234.0,0.04,0.0005,0.0599999999999999,1.4,0.0001999999999999,0,0,0,0,0,0
235,235.0,0.04,0.0005,0.0599999999999999,1.6,0.0001,0,0,0,0,0,0
236,236.0,0.04,0.0005,0.0599999999999999,1.6,0.000125,0,0,0,0,0,0
237,237.0,0.04,0.0005,0.0599999999999999,1.6,0.00015,0,0,0,0,0,0
238,238.0,0.04,0.0005,0.0599999999999999,1.6,0.000175,0,0,0,0,0,0
239,239.0,0.04,0.0005,0.0599999999999999,1.6,0.0001999999999999,0,0,0,0,0,0
240,240.0,0.04,0.0005,0.0599999999999999,1.8,0.0001,0,0,0,0,0,0
241,241.0,0.04,0.0005,0.0599999999999999,1.8,0.000125,0,0,0,0,0,0
242,242.0,0.04,0.0005,0.0599999999999999,1.8,0.00015,0,0,0,0,0,0
243,243.0,0.04,0.0005,0.0599999999999999,1.8,0.000175,0,0,0,0,0,0
244,244.0,0.04,0.0005,0.0599999999999999,1.8,0.0001999999999999,0,0,0,0,0,0
245,245.0,0.04,0.0005,0.0599999999999999,2.0,0.0001,0,0,0,0,0,0
246,246.0,0.04,0.0005,0.0599999999999999,2.0,0.000125,0,0,0,0,0,0
247,247.0,0.04,0.0005,0.0599999999999999,2.0,0.00015,0,0,0,0,0,0
248,248.0,0.04,0.0005,0.0599999999999999,2.0,0.000175,0,0,0,0,0,0
249,249.0,0.04,0.0005,0.0599999999999999,2.0,0.0001999999999999,0,0,0,0,0,0
250,250.0,0.04,0.0005,0.0649999999999999,0.2,0.0001,0,0,0,0,0,0
251,251.0,0.04,0.0005,0.0649999999999999,0.2,0.000125,0,0,0,0,0,0
252,252.0,0.04,0.0005,0.0649999999999999,0.2,0.00015,0,0,0,0,0,0
253,253.0,0.04,0.0005,0.0649999999999999,0.2,0.000175,0,0,0,0,0,0
254,254.0,0.04,0.0005,0.0649999999999999,0.2,0.0001999999999999,0,0,0,0,0,0
255,255.0,0.04,0.0005,0.0649999999999999,0.4,0.0001,0,0,0,0,0,0
256,256.0,0.04,0.0005,0.0649999999999999,0.4,0.000125,0,0,0,0,0,0
257,257.0,0.04,0.0005,0.0649999999999999,0.4,0.00015,0,0,0,0,0,0
258,258.0,0.04,0.0005,0.0649999999999999,0.4,0.000175,0,0,0,0,0,0
259,259.0,0.04,0.0005,0.0649999999999999,0.4,0.0001999999999999,0,0,0,0,0,0
260,260.0,0.04,0.0005,0.0649999999999999,0.6000000000000001,0.0001,0,0,0,0,0,0
261,261.0,0.04,0.0005,0.0649999999999999,0.6000000000000001,0.000125,0,0,0,0,0,0
262,262.0,0.04,0.0005,0.0649999999999999,0.6000000000000001,0.00015,0,0,0,0,0,0
